Name,Benefits,Consumption Methods,How to Eat
Cascabela thevetia (Yellow Oleander),Highly toxic, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Castor Bean Plant (Ricinus communis),Seeds highly toxic (ricin), oil safe if processed,Processed oil (safe),Don't eat seeds. Only oil is safe.
Cestrum nocturnum (Night Blooming Jasmine),Toxic berries, ornamental use,Not for consumption,Don't eat. It's poisonous.
Cicuta (Water Hemlock),One of the most toxic plants,Not for consumption,Don't eat. It's poisonous.
Clematis,Toxic sap, causes irritation,Not for consumption,Don't eat. It's poisonous.
Colchicum autumnale (Autumn Crocus),Highly toxic, used in medicine,Not for consumption,Don't eat. It's poisonous.
Convallaria majalis (Lily of the Valley),Toxic, affects heart function,Not for consumption,Don't eat. It's poisonous.
Datura (Jimsonweed),Highly toxic, hallucinogenic,Not for consumption,Don't eat. It's poisonous.
Delphinium (Larkspur),Toxic, especially to livestock,Not for consumption,Don't eat. It's poisonous.
Dieffenbachia (Dumb Cane),Irritant sap, ornamental use,Not for consumption,Don't eat. It's poisonous.
Digitalis purpurea (Foxglove),Toxic, used in heart medication,Not for consumption,Don't eat. It's poisonous.
Euphorbia (Spurge),Irritant sap, ornamental use,Not for consumption,Don't eat. It's poisonous.
Hedera helix (English Ivy),Toxic leaves and berries, ornamental vine,Not for consumption,Don't eat. It's poisonous.
Heliotropium (Heliotrope),Toxic, contains alkaloids,Not for consumption,Don't eat. It's poisonous.
Helleborus (Hellebore),Toxic, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Hyacinthus (Hyacinth),Irritant bulbs, ornamental,Not for consumption,Don't eat. It's poisonous.
Hydrangea,Toxic flowers and leaves, ornamental,Not for consumption,Don't eat. It's poisonous.
Ipomoea (Morning Glory),Some seeds toxic (hallucinogenic),Not for consumption,Don't eat. It's poisonous.
Iris,Toxic rhizomes, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Jatropha curcas (Physic Nut),Highly toxic seeds, used in biodiesel,Not for consumption,Don't eat. It's poisonous.
Laburnum (Golden Chain Tree),Highly toxic seeds and pods,Not for consumption,Don't eat. It's poisonous.
Lantana camara,Toxic berries (especially unripe), ornamental,Not for consumption,Don't eat. It's poisonous.
Larkspur,Toxic, especially to livestock,Not for consumption,Don't eat. It's poisonous.
Ligustrum (Privet),Toxic berries, ornamental,Not for consumption,Don't eat. It's poisonous.
Lobelia,Toxic in high doses, sometimes used medicinally,Not for consumption,Don't eat. It's poisonous.
Lupinus (Lupine),Some species toxic, seeds may be edible after processing,Not recommended,Don't eat. It's poisonous.
Macadamia integrifolia (Macadamia Nut Tree),Edible nuts, safe,Raw or roasted,Eat in moderation.
Manchineel Tree (Hippomane mancinella),Extremely toxic, causes burns,Not for consumption,Don't eat. It's poisonous.
Mimosa pudica (Sensitive Plant),Mildly toxic, ornamental use,Not for consumption,Don't eat. It's poisonous.
Narcissus (Daffodil),Toxic bulbs, causes nausea,Not for consumption,Don't eat. It's poisonous.
Nerium oleander (Oleander),Highly toxic, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Nicotiana (Tobacco),Contains nicotine, toxic,Processed for smoking,Don't eat. It's poisonous.
Ornithogalum (Star of Bethlehem),Toxic, causes gastrointestinal issues,Not for consumption,Don't eat. It's poisonous.
Pachypodium,Toxic sap, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Papaver somniferum (Opium Poppy),Seeds edible, used in food,Seeds in baking,Consume seeds only (safe).
Parthenocissus (Virginia Creeper),Toxic berries, ornamental vine,Not for consumption,Don't eat. It's poisonous.
Philodendron,Toxic leaves, causes irritation,Not for consumption,Don't eat. It's poisonous.
Phoradendron (Mistletoe),Toxic berries, ornamental,Not for consumption,Don't eat. It's poisonous.
Poinsettia,Mildly toxic sap, ornamental,Not for consumption,Don't eat. It's poisonous.
Polygonatum (Solomon’s Seal),Some species edible, others toxic,Not recommended,Don't eat. It's poisonous.
Prunus (Cherry, Peach, Plum),Seeds contain cyanogenic compounds,Not recommended raw,Remove seeds before eating.
Ranunculus (Buttercup),Toxic, causes irritation,Not for consumption,Don't eat. It's poisonous.
Rhododendron,Toxic leaves and flowers, ornamental,Not for consumption,Don't eat. It's poisonous.
Rhus (Poison Sumac, Poison Ivy, Poison Oak),Highly toxic, causes rashes,Not for consumption,Don't eat. It's poisonous.
Riccardia multifida,Toxic, little-known plant,Not for consumption,Don't eat. It's poisonous.
Ricinus communis (Castor Bean),Highly toxic seeds, processed oil safe,Processed oil only,Don't eat seeds.
Sambucus (Elderberry),Berries edible when cooked, raw toxic,Cooked berries only,Eat cooked berries only.
Sansevieria (Snake Plant),Mildly toxic, ornamental,Not for consumption,Don't eat. It's poisonous.
Scilla (Squill),Toxic bulbs, ornamental,Not for consumption,Don't eat. It's poisonous.
Silybum marianum (Milk Thistle),Medicinal seeds, safe,Seeds used in supplements,Consume seeds in moderation.
Solandra (Cup of Gold Vine),Toxic, causes hallucinations,Not for consumption,Don't eat. It's poisonous.
Solanum (Nightshade Family),Many species toxic, some edible,Edible species only,Only eat known edible types.
Solanum dulcamara (Bittersweet Nightshade),Toxic berries, ornamental,Not for consumption,Don't eat. It's poisonous.
Solanum pseudocapsicum (Jerusalem Cherry),Toxic berries, ornamental,Not for consumption,Don't eat. It's poisonous.
Symphoricarpos (Snowberry),Toxic berries, ornamental,Not for consumption,Don't eat. It's poisonous.
Taxus (Yew),Highly toxic, especially seeds,Not for consumption,Don't eat. It's poisonous.
Thevetia peruviana (Lucky Nut),Highly toxic seeds, ornamental,Not for consumption,Don't eat. It's poisonous.
Thujone (Artemisia),Toxic in large doses, medicinal use,Not for consumption,Don't eat. It's poisonous.
Veratrum (False Hellebore),Highly toxic, causes severe illness,Not for consumption,Don't eat. It's poisonous.
Vinca (Periwinkle),Toxic, used medicinally, ornamental,Not for consumption,Don't eat. It's poisonous.
Wisteria,Toxic seeds and pods, ornamental,Not for consumption,Don't eat. It's poisonous.
Zantedeschia (Calla Lily),Irritant sap, ornamental,Not for consumption,Don't eat. It's poisonous.
Zamia (Cycad),Toxic seeds, ornamental,Not for consumption,Don't eat. It's poisonous.
Zantedeschia aethiopica (Arum Lily),Irritant sap, ornamental,Not for consumption,Don't eat. It's poisonous.

